                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.4356,                 1.6536,                0.97853,                 1.1429,                0.72589,                0.76479,                0.79298,                0.39862,                0.65252,                0.61515,                0.58553,                0.17011,                 1.4811,                 2.2986,                 1.0973,                 1.2859,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4282,                 1.6224,                  0.969,                 1.1412,                0.80173,                0.80174,                0.84044,                0.45225,                0.63694,                0.61207,                0.58184,                0.14419,                  1.505,                  2.401,                 1.0431,                 1.2814,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.4006,                  1.638,                0.94214,                 1.1167,                 0.7922,                0.80519,                0.82751,                0.43783,                0.67101,                0.67241,                0.63425,                0.18041,                 1.4916,                 2.3674,                   1.06,                 1.2787,               0.000713,               0.000713,               0.000713
                     67,                 1.4088,                 1.6251,                0.94095,                 1.1273,                0.80151,                0.78017,                0.84291,                0.44533,                0.69624,                0.66192,                0.64985,                 0.1963,                 1.4967,                 2.3277,                 0.9997,                 1.2758,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3784,                 1.6127,                0.90257,                  1.112,                0.79243,                0.82328,                0.84005,                0.44431,                0.65074,                0.62931,                0.61497,                0.17902,                 1.5475,                  2.402,                  1.003,                 1.3136,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4044,                 1.6165,                 0.9342,                 1.1252,                0.78804,                0.78879,                0.82329,                0.45047,                0.68123,                0.62638,                0.64647,                0.18111,                 1.4871,                 2.4048,                      1,                 1.2821,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3739,                  1.614,                0.93707,                 1.1022,                0.82109,                0.77149,                0.84941,                0.45167,                0.68347,                0.62359,                0.62346,                0.16015,                 1.4817,                 2.4316,                 1.0321,                 1.2754,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.4063,                 1.5678,                0.90801,                 1.1295,                0.82328,                0.78313,                0.85459,                0.44727,                 0.6706,                0.59914,                0.58127,                0.17576,                 1.4841,                 2.3988,                 1.0058,                 1.2817,               0.000614,               0.000614,               0.000614
                     72,                 1.3702,                  1.562,                0.90441,                 1.1135,                0.80556,                0.78879,                0.84657,                0.43459,                0.63426,                0.62069,                0.55989,                0.14243,                 1.5247,                 2.4326,                 1.0361,                 1.2964,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.3121,                 1.5355,                0.85294,                 1.0939,                0.79518,                0.81897,                0.84999,                0.46602,                0.66222,                0.60776,                0.57525,                0.18527,                 1.4842,                 2.4305,                0.99873,                 1.2606,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3385,                 1.5828,                0.90156,                 1.0906,                0.83037,                0.79741,                0.84958,                0.44927,                0.62623,                0.59914,                0.55196,                0.14788,                 1.4772,                 2.4762,                  1.005,                 1.2916,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.3412,                 1.6054,                0.87563,                 1.0939,                0.79446,                0.81034,                0.83803,                 0.4526,                0.59721,                0.55172,                0.48172,                0.12871,                 1.4803,                 2.5796,                0.98676,                 1.2778,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3252,                 1.5706,                0.87691,                 1.0822,                0.83106,                0.77155,                 0.8376,                0.45221,                  0.645,                0.56387,                0.53085,                0.14716,                 1.4641,                 2.5378,                 0.9728,                  1.266,               0.000515,               0.000515,               0.000515
                     77,                 1.3329,                 1.5377,                0.86175,                 1.0784,                0.80936,                0.78689,                0.83366,                0.45006,                0.64744,                0.62069,                0.57157,                0.15328,                 1.5029,                 2.4722,                0.98812,                  1.287,              0.0004952,              0.0004952,              0.0004952
