                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                 1.5251,                 1.1147,                 1.4451,                0.77514,                   0.75,                0.79376,                0.42542,                 1.5405,                  1.144,                 1.6877,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.4968,                  1.089,                 1.3911,                0.71498,                 0.8319,                0.81988,                0.46096,                 1.4968,                 1.0938,                 1.6321,               0.008911,               0.008911,               0.008911
                    112,                 1.5396,                 1.1246,                 1.4306,                 0.7792,                0.78879,                0.81475,                0.42774,                 1.5488,                 1.1422,                 1.6683,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.5153,                 1.0948,                 1.4084,                0.79145,                0.75862,                0.81663,                0.43214,                 1.5245,                 1.0802,                 1.6575,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.4956,                 1.0832,                 1.4096,                0.76212,                0.78448,                0.81816,                0.44192,                 1.5325,                 1.1212,                  1.677,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.4859,                 1.0984,                 1.4031,                0.84183,                0.75707,                0.84182,                0.44388,                  1.532,                 1.1043,                 1.6735,              0.0088714,              0.0088714,              0.0088714
                    116,                 1.5162,                 1.1139,                  1.432,                0.82952,                0.75862,                0.83533,                0.47031,                 1.4927,                   1.09,                 1.6439,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.5014,                 1.1183,                 1.4057,                0.81276,                0.72972,                0.83206,                0.45299,                 1.4795,                 1.1547,                 1.6131,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.5097,                 1.1152,                 1.4108,                0.79098,                   0.75,                0.81054,                0.43993,                 1.5339,                 1.1339,                 1.6613,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.4913,                 1.1281,                 1.4121,                0.81306,                0.75862,                0.80789,                0.44746,                 1.4796,                 1.1055,                  1.642,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.5068,                 1.1027,                 1.4146,                0.80045,                0.74569,                0.80807,                  0.441,                 1.5004,                 1.0992,                 1.6352,              0.0088219,              0.0088219,              0.0088219
                    121,                  1.508,                 1.0921,                 1.4003,                0.81015,                0.77254,                0.83249,                 0.4642,                 1.4944,                 1.1236,                  1.637,               0.008812,               0.008812,               0.008812
                    122,                 1.4898,                 1.1093,                 1.3966,                0.83113,                0.74249,                0.82612,                0.45096,                 1.4729,                 1.0817,                 1.6268,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.4762,                 1.0641,                 1.3947,                0.78926,                 0.7426,                0.83418,                0.44571,                 1.4915,                 1.0963,                 1.6328,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.4843,                 1.0894,                 1.3993,                0.76137,                0.79765,                0.83129,                0.46811,                 1.4536,                 1.0926,                 1.6302,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.4888,                  1.079,                 1.3761,                 0.8084,                0.74569,                0.81804,                0.44073,                 1.5416,                  1.123,                 1.6916,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.4643,                 1.0701,                 1.3799,                0.81634,                0.78553,                0.84348,                0.44838,                 1.5176,                 1.1191,                 1.6601,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.4956,                 1.0772,                 1.3968,                0.75835,                0.77155,                0.80423,                0.42145,                 1.5345,                 1.0876,                 1.6877,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.4688,                 1.0621,                 1.4014,                 0.7782,                0.81034,                0.82907,                0.45539,                 1.4944,                 1.0923,                 1.6223,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.4738,                 1.0919,                 1.3975,                0.81972,                0.75862,                0.79652,                0.42923,                 1.5012,                 1.1327,                 1.6462,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.4592,                 1.0593,                  1.398,                 0.8462,                0.73276,                0.82344,                0.44729,                 1.5329,                 1.0935,                 1.6606,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.4871,                   1.06,                 1.3881,                0.81455,                0.75731,                0.84542,                0.47754,                 1.4769,                 1.0366,                 1.6207,               0.008713,               0.008713,               0.008713
                    132,                 1.4724,                   1.11,                 1.3884,                0.80939,                0.81466,                 0.8538,                0.48596,                 1.4601,                   1.08,                  1.608,              0.0087031,              0.0087031,              0.0087031
                    133,                 1.4595,                 1.0503,                 1.3898,                0.85015,                0.78879,                0.85337,                0.47987,                 1.4605,                 1.0364,                 1.6106,              0.0086932,              0.0086932,              0.0086932
                    134,                 1.4346,                 1.0043,                 1.3659,                0.79794,                 0.7931,                0.84274,                0.47262,                 1.4968,                 1.0617,                 1.6275,              0.0086833,              0.0086833,              0.0086833
                    135,                 1.4446,                 1.0335,                 1.3621,                0.82038,                0.78017,                0.84606,                 0.4741,                 1.4802,                 1.0716,                 1.6385,              0.0086734,              0.0086734,              0.0086734
                    136,                 1.4373,                 1.0167,                 1.3807,                0.82659,                0.78448,                 0.8356,                0.46159,                 1.4776,                 1.0687,                 1.6168,              0.0086635,              0.0086635,              0.0086635
                    137,                 1.4275,                 1.0272,                 1.3693,                0.80219,                0.76913,                0.82743,                0.46312,                 1.4454,                 1.0477,                 1.6209,              0.0086536,              0.0086536,              0.0086536
                    138,                 1.4362,                 1.0043,                 1.3709,                0.80345,                0.77525,                0.82172,                0.44169,                 1.5114,                 1.0641,                 1.6742,              0.0086437,              0.0086437,              0.0086437
                    139,                 1.4325,                 1.0023,                 1.3654,                0.78687,                0.78448,                0.81842,                0.45385,                 1.4854,                 1.0597,                 1.6395,              0.0086338,              0.0086338,              0.0086338
                    140,                 1.4714,                 1.0568,                 1.3872,                0.79774,                0.75862,                0.81671,                0.45368,                 1.4813,                 1.0946,                 1.6447,              0.0086239,              0.0086239,              0.0086239
                    141,                 1.4284,                 0.9904,                 1.3572,                0.75134,                0.76293,                0.81781,                0.45364,                 1.4694,                 1.0741,                 1.6425,               0.008614,               0.008614,               0.008614
                    142,                 1.4507,                 1.0228,                 1.3642,                0.78577,                0.77466,                0.82023,                0.45928,                 1.4851,                 1.0704,                 1.6327,              0.0086041,              0.0086041,              0.0086041
                    143,                 1.4466,                 1.0163,                 1.3642,                0.79502,                0.78879,                0.82384,                0.46346,                 1.4728,                 1.0176,                 1.6321,              0.0085942,              0.0085942,              0.0085942
                    144,                 1.4441,                 1.0495,                 1.3547,                0.78327,                0.74776,                0.79131,                0.45011,                  1.459,                 1.0667,                 1.6363,              0.0085843,              0.0085843,              0.0085843
                    145,                  1.421,                0.98906,                 1.3519,                0.79266,                0.77155,                0.82767,                0.46626,                 1.4549,                 1.0547,                 1.6275,              0.0085744,              0.0085744,              0.0085744
